OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790209577245|48001950100|Census Tract 9501|483306613|7864313|G5020|S|20740209577245|48001950100|Census Tract 9501|483306613|7864313|G5020|S|483306613|7864313
207903549666454|48001950401|Census Tract 9504.01|16509268|298419|G5020|S|207403549666454|48001950401|Census Tract 9504.01|16507380|298419|G5020|S|16507380|298419
207903549666454|48001950401|Census Tract 9504.01|16509268|298419|G5020|S|207403549669188|48001951100|Census Tract 9511|769914685|12867474|G5020|S|1888|0
207903549666344|48001950402|Census Tract 9504.02|71134275|2626492|G5020|S|207403549666344|48001950402|Census Tract 9504.02|72472038|2627857|G5020|S|71134275|2626492
20790209577300|48001950500|Census Tract 9505|23132052|99223|G5020|S|20740209577300|48001950500|Census Tract 9505|23132052|99223|G5020|S|23132052|99223
20790209577317|48001950600|Census Tract 9506|20653882|329641|G5020|S|20740209577317|48001950600|Census Tract 9506|20653882|329641|G5020|S|20653882|329641
20790209577331|48001950700|Census Tract 9507|6720934|6724|G5020|S|20740209577331|48001950700|Census Tract 9507|6720934|6724|G5020|S|6720934|6724
20790209577350|48001950800|Census Tract 9508|10429389|92101|G5020|S|20740209577350|48001950800|Census Tract 9508|10627622|92101|G5020|S|10429389|92101
207903549665981|48001950901|Census Tract 9509.01|290214322|4738880|G5020|S|20740209577350|48001950800|Census Tract 9508|10627622|92101|G5020|S|198233|0
207903549665981|48001950901|Census Tract 9509.01|290214322|4738880|G5020|S|207403549665981|48001950901|Census Tract 9509.01|290032533|4738880|G5020|S|290016089|4738880
207903549664428|48001950902|Census Tract 9509.02|441347126|4984901|G5020|S|207403549665981|48001950901|Census Tract 9509.01|290032533|4738880|G5020|S|16444|0
207903549664428|48001950902|Census Tract 9509.02|441347126|4984901|G5020|S|207403549664428|48001950902|Census Tract 9509.02|441330682|4984901|G5020|S|441330682|4984901
2079015751080367|48001951001|Census Tract 9510.01|358736667|3015204|G5020|S|20740209577229|48001951000|Census Tract 9510|617466407|5935513|G5020|S|358736667|3015204
2079015751082240|48001951002|Census Tract 9510.02|258729740|2920309|G5020|S|20740209577229|48001951000|Census Tract 9510|617466407|5935513|G5020|S|258729740|2920309
207903549669188|48001951100|Census Tract 9511|771250560|12868839|G5020|S|207403549666344|48001950402|Census Tract 9504.02|72472038|2627857|G5020|S|1337763|1365
207903549669188|48001951100|Census Tract 9511|771250560|12868839|G5020|S|207403549669188|48001951100|Census Tract 9511|769914685|12867474|G5020|S|769912797|12867474
20790210668017|48003950100|Census Tract 9501|2624013311|0|G5020|S|20740210668017|48003950100|Census Tract 9501|2624013311|0|G5020|S|2624013311|0
20790210668033|48003950200|Census Tract 9502|5118685|0|G5020|S|20740210668033|48003950200|Census Tract 9502|5106090|0|G5020|S|5106090|0
20790210668033|48003950200|Census Tract 9502|5118685|0|G5020|S|20740210668049|48003950300|Census Tract 9503|5189566|30529|G5020|S|12595|0
20790210668049|48003950300|Census Tract 9503|5174103|30529|G5020|S|20740210668049|48003950300|Census Tract 9503|5189566|30529|G5020|S|5174103|30529
20790210668067|48003950400|Census Tract 9504|1252544160|926510|G5020|S|20740210668049|48003950300|Census Tract 9503|5189566|30529|G5020|S|2868|0
20790210668067|48003950400|Census Tract 9504|1252544160|926510|G5020|S|20740210668067|48003950400|Census Tract 9504|1252541292|926510|G5020|S|1252541292|926510
